Time         Position     u_Position   density      velocity     Temperature  Pressure     species1     species2     species3     species4    
0.000000     0.695000     0.690000     1.000000     0.001500     200.000000   0.222153     0.363493     0.250236     0.159132     0.227140    
0.000000     0.705000     0.700000     1.000000     0.001500     200.000000   0.214748     0.363493     0.250236     0.159132     0.227140    
0.000000     0.715000     0.710000     1.000000     0.001500     200.000000   0.207343     0.363493     0.250236     0.159132     0.227140    
0.000000     0.725000     0.720000     1.000000     0.001500     200.000000   0.199938     0.363493     0.250236     0.159132     0.227140    
0.000000     0.735000     0.730000     1.000000     0.001500     200.000000   0.192533     0.363493     0.250236     0.159132     0.227140    
0.000000     0.745000     0.740000     1.000000     0.001500     200.000000   0.185128     0.363493     0.250236     0.159132     0.227140    
0.000000     0.755000     0.750000     1.000000     0.001500     200.000000   0.177723     0.363493     0.250236     0.159132     0.227140    
0.000000     0.765000     0.760000     1.000000     0.001500     200.000000   0.170318     0.363493     0.250236     0.159132     0.227140    
0.000000     0.775000     0.770000     1.000000     0.001500     200.000000   0.162913     0.363493     0.250236     0.159132     0.227140    
0.000000     0.785000     0.780000     1.000000     0.001500     200.000000   0.155508     0.363493     0.250236     0.159132     0.227140    
0.000000     0.795000     0.790000     1.000000     0.001500     200.000000   0.148103     0.363493     0.250236     0.159132     0.227140    
0.000000     0.805000     0.800000     1.000000     0.001500     200.000000   0.140698     0.363493     0.250236     0.159132     0.227140    
0.000000     0.815000     0.810000     1.000000     0.001500     200.000000   0.133293     0.363493     0.250236     0.159132     0.227140    
0.000000     0.825000     0.820000     1.000000     0.001500     200.000000   0.125888     0.363493     0.250236     0.159132     0.227140    
0.000000     0.835000     0.830000     1.000000     0.001500     200.000000   0.118483     0.363493     0.250236     0.159132     0.227140    
0.000000     0.845000     0.840000     1.000000     0.001500     200.000000   0.111078     0.363493     0.250236     0.159132     0.227140    
0.000000     0.855000     0.850000     1.000000     0.001500     200.000000   0.103673     0.363493     0.250236     0.159132     0.227140    
0.000000     0.865000     0.860000     1.000000     0.001500     200.000000   0.096268     0.363493     0.250236     0.159132     0.227140    
0.000000     0.875000     0.870000     1.000000     0.001500     200.000000   0.088863     0.363493     0.250236     0.159132     0.227140    
0.000000     0.885000     0.880000     1.000000     0.001500     200.000000   0.081458     0.363493     0.250236     0.159132     0.227140    
0.000000     0.895000     0.890000     1.000000     0.001500     200.000000   0.074053     0.363493     0.250236     0.159132     0.227140    
0.000000     0.905000     0.900000     1.000000     0.001500     200.000000   0.066648     0.363493     0.250236     0.159132     0.227140    
0.000000     0.915000     0.910000     1.000000     0.001500     200.000000   0.059243     0.363493     0.250236     0.159132     0.227140    
0.000000     0.925000     0.920000     1.000000     0.001500     200.000000   0.051838     0.363493     0.250236     0.159132     0.227140    
0.000000     0.935000     0.930000     1.000000     0.001500     200.000000   0.044433     0.363493     0.250236     0.159132     0.227140    
0.000000     0.945000     0.940000     1.000000     0.001500     200.000000   0.037028     0.363493     0.250236     0.159132     0.227140    
0.000000     0.955000     0.950000     1.000000     0.001500     200.000000   0.029623     0.363493     0.250236     0.159132     0.227140    
0.000000     0.965000     0.960000     1.000000     0.001500     200.000000   0.022218     0.363493     0.250236     0.159132     0.227140    
0.000000     0.975000     0.970000     1.000000     0.001500     200.000000   0.014813     0.363493     0.250236     0.159132     0.227140    
0.000000     0.985000     0.980000     1.000000     0.001500     200.000000   0.007408     0.363493     0.250235     0.159132     0.227140    
0.000000     0.995000     0.990000     1.000000     0.001500     200.000000   0.000000     0.363495     0.250232     0.159133     0.227140    
0.000000     1.000000     1.000000     1.000000     0.001500     200.000000   0.000000     0.363495     0.250232     0.159133     0.227140    

10.000000    0.000000     0.000000     1.000000     0.100000     200.000000   0.000000     0.363687     0.250101     0.159195     0.227017    
10.000000    0.005000     0.000000     1.000000     0.001500     200.000000   0.928130     0.362555     0.250913     0.158822     0.227710    
10.000000    0.015000     0.010000     1.000000     0.001500     200.000000   0.918753     0.361201     0.251872     0.158375     0.228552    
10.000000    0.025000     0.020000     1.000000     0.001500     200.000000   0.909378     0.360385     0.252437     0.158107     0.229071    
10.000000    0.035000     0.030000     1.000000     0.001500     200.000000   0.900003     0.359956     0.252724     0.157967     0.229353    
10.000000    0.045000     0.040000     1.000000     0.001500     200.000000   0.890628     0.359755     0.252853     0.157901     0.229490    
10.000000    0.055000     0.050000     1.000000     0.001500     200.000000   0.881253     0.359670     0.252905     0.157874     0.229551    
10.000000    0.065000     0.060000     1.000000     0.001500     200.000000   0.871878     0.359638     0.252924     0.157864     0.229575    
10.000000    0.075000     0.070000     1.000000     0.001500     200.000000   0.862503     0.359626     0.252930     0.157860     0.229584    
10.000000    0.085000     0.080000     1.000000     0.001500     200.000000   0.853128     0.359622     0.252933     0.157859     0.229587    
10.000000    0.095000     0.090000     1.000000     0.001500     200.000000   0.843753     0.359621     0.252933     0.157858     0.229588    
10.000000    0.105000     0.100000     1.000000     0.001500     200.000000   0.834378     0.359620     0.252933     0.157858     0.229588    
10.000000    0.115000     0.110000     1.000000     0.001500     200.000000   0.825003     0.359620     0.252933     0.157858     0.229588    
10.000000    0.125000     0.120000     1.000000     0.001500     200.000000   0.815628     0.359620     0.252933     0.157858     0.229588    
